,co2_emissions_tonnes_per_person,poverty_percent_people_below_550_a_day,sp_dyn_le00_in,gini,at_least_basic_sanitation_overall_access_percent,energy_use_per_person,sugar_per_person_g_per_day,gdppercapita_us_inflation_adjusted,smoking_adults_percent_of_population_over_age_15,hepb3_immunized_percent_of_one_year_olds,suicide_per_100000_people,working_hours_per_week,literacy_rate_adult_total_percent_of_people_ages_15_and_above,corruption_perception_index_cpi,government_health_spending_per_person_us,food_supply_kilocalories_per_person_and_day,long_term_unemployment_rate_percent,total_health_spending_per_person_us,alcohol_consumption_per_adult_15plus_litres,at_least_basic_water_source_overall_access_percent
Kuwait,25.2,,74.8,40.0,100.0,8960.0,106.0,33500.0,,99.0,1.47,,93.9,39.0,983.0,3500.0,,1220.0,0.1,100.0
Kyrgyz Republic,1.66,67.1,71.2,26.8,96.6,650.0,86.3,1070.0,24.7,96.0,7.55,37.2,99.2,29.0,30.1,2820.0,1.8,53.5,4.72,87.3
Lao,0.297,85.0,67.0,36.4,72.6,,19.7,1730.0,40.5,78.0,,41.5,72.7,29.0,15.4,2450.0,1.02,46.2,6.99,80.4
Latvia,3.46,4.0,74.7,34.2,92.9,2180.0,117.0,15600.0,39.4,91.0,15.5,38.9,99.8,58.0,439.0,3170.0,2.4,718.0,13.4,98.6
Lebanon,4.3,2.0,79.8,31.8,95.4,1340.0,123.0,7200.0,18.1,81.0,,,89.6,28.0,255.0,3070.0,,651.0,2.3,92.3
Lesotho,1.15,89.9,54.6,54.2,43.8,9.58,45.5,1410.0,,83.0,,,75.8,42.0,83.0,2530.0,,109.0,5.56,71.6
Liberia,0.213,93.0,63.0,33.2,16.9,,15.5,352.0,,49.0,,44.6,42.9,31.0,9.49,2200.0,0.441,29.2,5.07,69.9
Libya,9.19,,72.1,40.0,99.7,2880.0,,7310.0,,98.0,,,89.5,17.0,333.0,,,484.0,0.1,96.8
Liechtenstein,1.19,,82.3,40.0,100.0,,,141000.0,,,,,,,,,,,,100.0
Lithuania,4.33,4.2,74.7,37.4,93.6,2390.0,130.0,16800.0,33.0,95.0,22.9,38.3,99.7,59.0,574.0,3420.0,1.94,781.0,16.3,97.4
Luxembourg,17.4,0.5,82.7,33.8,97.6,6550.0,141.0,108000.0,34.7,95.0,9.04,37.6,,82.0,6910.0,3540.0,1.36,8180.0,12.8,100.0
"Macedonia, FYR",3.61,25.1,,35.6,90.9,1260.0,110.0,5250.0,,90.0,6.8,42.2,97.4,35.0,202.0,2950.0,8.7,317.0,8.94,96.8
Madagascar,0.13,97.3,66.3,42.7,9.69,,20.3,422.0,,89.0,,33.8,64.5,24.0,9.59,2050.0,,15.9,1.32,50.6
Malawi,0.0748,96.1,63.7,45.5,43.5,,22.6,486.0,15.0,97.0,,,61.3,31.0,15.4,2370.0,1.22,25.6,1.44,67.2
Malaysia,8.03,2.7,75.5,41.0,99.6,2970.0,121.0,11500.0,28.8,97.0,0.0684,45.5,93.1,47.0,204.0,2920.0,0.222,368.0,0.87,96.4
Maldives,3.27,54.3,77.6,38.4,95.9,890.0,83.0,8980.0,28.2,96.0,,48.5,98.4,33.0,231.0,2730.0,0.773,383.0,,97.9
Mali,0.0832,94.9,58.5,33.0,31.3,,28.1,762.0,11.2,72.0,,42.9,33.4,31.0,14.8,2890.0,1.66,31.7,0.99,74.3
Malta,5.51,0.2,82.5,29.4,100.0,1780.0,168.0,27100.0,28.7,82.0,7.19,37.9,92.4,56.0,1110.0,3380.0,1.3,1700.0,4.1,100.0
Marshall Islands,1.94,,65.2,40.0,86.9,614.0,,3450.0,,97.0,,,,,433.0,,,520.0,,78.2
Mauritania,0.667,58.8,63.4,32.6,44.6,,99.2,1310.0,13.1,75.0,,,58.6,28.0,22.7,2880.0,,42.7,0.11,69.6
Mauritius,3.36,18.1,74.5,35.8,93.1,1110.0,96.0,10200.0,18.5,98.0,7.53,39.0,88.8,50.0,187.0,3070.0,1.38,449.0,3.53,99.9
Mexico,3.87,34.8,77.3,45.9,89.2,1490.0,133.0,9950.0,24.7,98.0,3.63,46.3,93.5,29.0,253.0,3070.0,0.0805,524.0,8.55,98.3
"Micronesia, Fed. Sts.",1.45,69.6,69.3,40.1,56.3,,,2860.0,,83.0,,,,,334.0,,,366.0,5.25,88.4
Moldova,1.21,16.5,71.7,26.4,78.4,928.0,64.6,2170.0,26.0,96.0,13.0,38.0,99.0,31.0,87.2,2710.0,0.415,190.0,23.0,86.7
Monaco,,,,40.0,100.0,,,144000.0,,99.0,,,,,5570.0,,,6330.0,,100.0
